
INTEGERS

1

  Heap Sort       | mixed_int            | size=   1,000 |     1.1828 ms  (avg of 10 runs)
  Selection Sort  | mixed_int            | size=   1,000 |    10.3135 ms  (avg of 10 runs)
  Merge Sort      | mixed_int            | size=   1,000 |     1.2303 ms  (avg of 10 runs)
  Quick Sort      | mixed_int            | size=   1,000 |     0.6103 ms  (avg of 10 runs)
  Bubble Sort     | flat_int             | size=   1,000 |    18.4589 ms  (avg of 10 runs)
  Insertion Sort  | flat_int             | size=   1,000 |     8.4422 ms  (avg of 10 runs)
  Heap Sort       | flat_int             | size=   1,000 |     0.8053 ms  (avg of 10 runs)
  Selection Sort  | flat_int             | size=   1,000 |    11.8692 ms  (avg of 10 runs)
  Merge Sort      | flat_int             | size=   1,000 |     1.1840 ms  (avg of 10 runs)
  Quick Sort      | flat_int             | size=   1,000 |     6.0669 ms  (avg of 10 runs)
  Bubble Sort     | random_int           | size=   5,000 |   631.8786 ms  (avg of 10 runs)
  Insertion Sort  | random_int           | size=   5,000 |   274.2677 ms  (avg of 10 runs)
  Heap Sort       | random_int           | size=   5,000 |     7.5235 ms  (avg of 10 runs)
  Selection Sort  | random_int           | size=   5,000 |   252.7341 ms  (avg of 10 runs)
  Merge Sort      | random_int           | size=   5,000 |     7.4087 ms  (avg of 10 runs)
  Quick Sort      | random_int           | size=   5,000 |     3.2650 ms  (avg of 10 runs)
  Bubble Sort     | sorted_int           | size=   5,000 |     0.1503 ms  (avg of 10 runs)
  Insertion Sort  | sorted_int           | size=   5,000 |     0.2725 ms  (avg of 10 runs)
  Heap Sort       | sorted_int           | size=   5,000 |     7.9942 ms  (avg of 10 runs)
  Selection Sort  | sorted_int           | size=   5,000 |   256.0719 ms  (avg of 10 runs)
  Merge Sort      | sorted_int           | size=   5,000 |     6.6082 ms  (avg of 10 runs)
  Quick Sort      | sorted_int           | size=   5,000 |   568.4939 ms  (avg of 10 runs)
  Bubble Sort     | reverse_sorted_int   | size=   5,000 |   774.1229 ms  (avg of 10 runs)
  Insertion Sort  | reverse_sorted_int   | size=   5,000 |   551.3655 ms  (avg of 10 runs)
  Heap Sort       | reverse_sorted_int   | size=   5,000 |     7.1704 ms  (avg of 10 runs)
  Selection Sort  | reverse_sorted_int   | size=   5,000 |   285.0573 ms  (avg of 10 runs)
