large size lists

algorithm,structure,size,runs,avg_time_s,avg_time_ms
Selection Sort,reverse_float,100,100000,0.000105952,0.105952
Merge Sort,reverse_float,100,100000,7.8988e-05,0.078988
Quick Sort,reverse_float,100,100000,0.000148643,0.148643
Bubble Sort,random_float,1000,10,0.02299368,22.99368
Insertion Sort,random_float,1000,10,0.01070837,10.70837
Heap Sort,random_float,1000,10,0.00113755,1.13755
Selection Sort,random_float,1000,10,0.01153389,11.53389
Merge Sort,random_float,1000,10,0.0012086,1.2086
Quick Sort,random_float,1000,10,0.00054503,0.54503
Bubble Sort,sorted_float,1000,10,2.725e-05,0.02725
Insertion Sort,sorted_float,1000,10,5.12e-05,0.0512
Heap Sort,sorted_float,1000,10,0.00121478,1.21478
Selection Sort,sorted_float,1000,10,0.01102351,11.02351
Merge Sort,sorted_float,1000,10,0.00108356,1.08356
Quick Sort,sorted_float,1000,10,0.02217196,22.17196
Bubble Sort,reverse_float,1000,10,0.02902389,29.02389
Insertion Sort,reverse_float,1000,10,0.02120902,21.20902
Heap Sort,reverse_float,1000,10,0.00105172,1.05172
Selection Sort,reverse_float,1000,10,0.0115469,11.5469
Merge Sort,reverse_float,1000,10,0.00106628,1.06628
Quick Sort,reverse_float,1000,10,0.0166352,16.6352
Bubble Sort,random_float,5000,10,0.62865621,628.65621
Insertion Sort,random_float,5000,10,0.28671433,286.71433
Heap Sort,random_float,5000,10,0.00752758,7.52758
Selection Sort,random_float,5000,10,0.27610026,276.10026
Merge Sort,random_float,5000,10,0.00707206,7.07206
Quick Sort,random_float,5000,10,0.00321635,3.21635
Bubble Sort,sorted_float,5000,10,0.00014248,0.14248
Insertion Sort,sorted_float,5000,10,0.00026586,0.26586
Heap Sort,sorted_float,5000,10,0.00774604,7.74604
Selection Sort,sorted_float,5000,10,0.267696,267.696
Merge Sort,sorted_float,5000,10,0.00630912,6.30912
Quick Sort,sorted_float,5000,10,0.58027985,580.27985
Bubble Sort,reverse_float,5000,10,0.79320555,793.20555
Insertion Sort,reverse_float,5000,10,0.57025604,570.25604
Heap Sort,reverse_float,5000,10,0.00685674,6.85674
Selection Sort,reverse_float,5000,10,0.27863092,278.63092
Merge Sort,reverse_float,5000,10,0.00635488,6.35488
Quick Sort,reverse_float,5000,10,0.41363282,413.63282
Bubble Sort,random_float,10000,10,2.58856126,2588.56126
Insertion Sort,random_float,10000,10,1.2097357,1209.7357
Heap Sort,random_float,10000,10,0.01724533,17.24533
Selection Sort,random_float,10000,10,1.10846256,1108.46256
Merge Sort,random_float,10000,10,0.0152024,15.2024
Quick Sort,random_float,10000,10,0.00741244,7.41244
Bubble Sort,sorted_float,10000,10,0.00030771,0.30771
Insertion Sort,sorted_float,10000,10,0.00053931,0.53931
Heap Sort,sorted_float,10000,10,0.01693432,16.93432
Selection Sort,sorted_float,10000,10,1.06801278,1068.01278
Merge Sort,sorted_float,10000,10,0.01358804,13.58804
Quick Sort,sorted_float,10000,10,-1,-1000
Bubble Sort,reverse_float,10000,10,3.2096673,3209.6673
Insertion Sort,reverse_float,10000,10,2.32450658,2324.50658
Heap Sort,reverse_float,10000,10,0.01549821,15.49821
Selection Sort,reverse_float,10000,10,1.11621413,1116.21413
Merge Sort,reverse_float,10000,10,0.01350225,13.50225
Quick Sort,reverse_float,10000,10,-1,-1000
Bubble Sort,random_float,50000,10,72.81535497,72815.35497
Insertion Sort,random_float,50000,10,39.84933419,39849.33419
Heap Sort,random_float,50000,10,0.10176097,101.76097
Selection Sort,random_float,50000,10,41.40914207,41409.14207
Merge Sort,random_float,50000,10,0.08774423,87.74423
Quick Sort,random_float,50000,10,0.04498613,44.98613
Bubble Sort,sorted_float,50000,10,0.00146134,1.46134
Insertion Sort,sorted_float,50000,10,0.0028157,2.8157
Heap Sort,sorted_float,50000,10,0.10295653,102.95653
Selection Sort,sorted_float,50000,10,31.70602065,31706.02065
Merge Sort,sorted_float,50000,10,0.07965383,79.65383
Quick Sort,sorted_float,50000,10,-1,-1000
Bubble Sort,reverse_float,50000,10,103.30372689,103303.72689
Insertion Sort,reverse_float,50000,10,65.08494873,65084.94873
Heap Sort,reverse_float,50000,10,0.0953808,95.3808
Selection Sort,reverse_float,50000,10,33.52582275,33525.82275
Merge Sort,reverse_float,50000,10,0.08162915,81.62915
Quick Sort,reverse_float,50000,10,-1,-1000
Heap Sort,random_float,100000,3,0.2446211,244.6211
Merge Sort,random_float,100000,3,0.193912033,193.912033
Quick Sort,random_float,100000,3,0.0959546,95.9546
Heap Sort,sorted_float,100000,3,0.227307267,227.307267
Merge Sort,sorted_float,100000,3,0.1741471,174.1471
Quick Sort,sorted_float,100000,3,-1,-1000
Heap Sort,reverse_float,100000,3,0.216317133,216.317133
Merge Sort,reverse_float,100000,3,0.178845133,178.845133
Quick Sort,reverse_float,100000,3,-1,-1000
Heap Sort,random_float,500000,3,1.7315265,1731.5265
Merge Sort,random_float,500000,3,1.2206016,1220.6016
Quick Sort,random_float,500000,3,0.622976767,622.976767
Heap Sort,sorted_float,500000,3,1.420340467,1420.340467
Merge Sort,sorted_float,500000,3,1.227923033,1227.923033
Quick Sort,sorted_float,500000,3,-1,-1000
Heap Sort,reverse_float,500000,3,1.476215733,1476.215733
Merge Sort,reverse_float,500000,3,1.317531367,1317.531367
Quick Sort,reverse_float,500000,3,-1,-1000
Heap Sort,random_float,1000000,3,4.068938367,4068.938367
Merge Sort,random_float,1000000,3,2.645324,2645.324
Quick Sort,random_float,1000000,3,1.537021033,1537.021033
Heap Sort,sorted_float,1000000,3,3.030104433,3030.104433
Merge Sort,sorted_float,1000000,3,2.966533433,2966.533433
Quick Sort,sorted_float,1000000,3,-1,-1000
Heap Sort,reverse_float,1000000,3,3.017218267,3017.218267
Merge Sort,reverse_float,1000000,3,3.172222867,3172.222867
Quick Sort,reverse_float,1000000,3,-1,-1000
