
INTEGERS

1

  Insertion Sort  | flat_int             | size=     100 |     0.0688 ms  (avg of 100000 runs)
  Heap Sort       | flat_int             | size=     100 |     0.0605 ms  (avg of 100000 runs)
  Selection Sort  | flat_int             | size=     100 |     0.1035 ms  (avg of 100000 runs)
  Merge Sort      | flat_int             | size=     100 |     0.0859 ms  (avg of 100000 runs)
  Quick Sort      | flat_int             | size=     100 |     0.0734 ms  (avg of 100000 runs)

2

  Bubble Sort     | random_int           | size=      20 |     0.0102 ms  (avg of 10000 runs)
  Insertion Sort  | random_int           | size=      20 |     0.0059 ms  (avg of 10000 runs)
  Heap Sort       | random_int           | size=      20 |     0.0100 ms  (avg of 10000 runs)
  Selection Sort  | random_int           | size=      20 |     0.0058 ms  (avg of 10000 runs)
  Merge Sort      | random_int           | size=      20 |     0.0146 ms  (avg of 10000 runs)
  Quick Sort      | random_int           | size=      20 |     0.0045 ms  (avg of 10000 runs)
  Bubble Sort     | sorted_int           | size=      20 |     0.0006 ms  (avg of 10000 runs)
  Insertion Sort  | sorted_int           | size=      20 |     0.0011 ms  (avg of 10000 runs)
  Heap Sort       | sorted_int           | size=      20 |     0.0107 ms  (avg of 10000 runs)
  Selection Sort  | sorted_int           | size=      20 |     0.0052 ms  (avg of 10000 runs)
  Merge Sort      | sorted_int           | size=      20 |     0.0139 ms  (avg of 10000 runs)
  Quick Sort      | sorted_int           | size=      20 |     0.0114 ms  (avg of 10000 runs)
  Bubble Sort     | reverse_sorted_int   | size=      20 |     0.0112 ms  (avg of 10000 runs)
  Insertion Sort  | reverse_sorted_int   | size=      20 |     0.0082 ms  (avg of 10000 runs)
  Heap Sort       | reverse_sorted_int   | size=      20 |     0.0083 ms  (avg of 10000 runs)
  Selection Sort  | reverse_sorted_int   | size=      20 |     0.0058 ms  (avg of 10000 runs)
  Merge Sort      | reverse_sorted_int   | size=      20 |     0.0134 ms  (avg of 10000 runs)
  Quick Sort      | reverse_sorted_int   | size=      20 |     0.0088 ms  (avg of 10000 runs)
  Bubble Sort     | almost_sorted_int    | size=      20 |     0.0021 ms  (avg of 10000 runs)
  Insertion Sort  | almost_sorted_int    | size=      20 |     0.0012 ms  (avg of 10000 runs)
  Heap Sort       | almost_sorted_int    | size=      20 |     0.0102 ms  (avg of 10000 runs)
  Selection Sort  | almost_sorted_int    | size=      20 |     0.0054 ms  (avg of 10000 runs)
  Merge Sort      | almost_sorted_int    | size=      20 |     0.0145 ms  (avg of 10000 runs)
  Quick Sort      | almost_sorted_int    | size=      20 |     0.0096 ms  (avg of 10000 runs)
  Bubble Sort     | mixed_int            | size=      20 |     0.0084 ms  (avg of 10000 runs)
  Insertion Sort  | mixed_int            | size=      20 |     0.0048 ms  (avg of 10000 runs)
